clean_dates,positive
Feb 01,0.7424242424242424
Feb 02,0.6862745098039216
Feb 03,0.5909090909090909
Feb 04,0.6885245901639344
Feb 05,0.6153846153846154
Feb 06,0.5375
Jan 19,0.7755102040816326
Jan 20,0.7931034482758621
Jan 21,0.8367346938775511
Jan 22,0.6382978723404256
Jan 23,0.5714285714285714
Jan 24,0.6153846153846154
Jan 25,0.6851851851851852
Jan 26,0.6666666666666666
Jan 27,0.6304347826086957
Jan 28,0.6382978723404256
Jan 29,0.6829268292682927
Jan 30,0.6923076923076923
Jan 31,0.6065573770491803
